### RESULTS ###
benchmark: measures IPC call and memory copying over IPC overhead
description: measures cycles taken for one process to copy data received from another
run, cycles
0, 40600
1, 39608
2, 39608
3, 39608
4, 39608
5, 39608
6, 39608
7, 39608
8, 39608
9, 39608
10, 39608
11, 39608
12, 39608
13, 39608
14, 39608
15, 39608
16, 39608
17, 39608
18, 39608
19, 39608
20, 39608
21, 39608
22, 39608
23, 39608
24, 39608
25, 39608
26, 39608
27, 39608
28, 39608
29, 39608
30, 39608
31, 39608
32, 39608
33, 39608
34, 39608
35, 39608
36, 39608
37, 39608
38, 39608
39, 39608
40, 39608
41, 39608
42, 39608
43, 39608
44, 39608
45, 39608
46, 39608
47, 39608
48, 39608
49, 39608
50, 39608
51, 39608
52, 39608
53, 39608
54, 39608
55, 39608
56, 39608
57, 39608
58, 39608
59, 39608
60, 39608
61, 39608
62, 39608
63, 39608
64, 39608
65, 39608
66, 39608
67, 39608
68, 39608
69, 39608
70, 39608
71, 39608
72, 39608
73, 39608
74, 39608
75, 39608
76, 39608
77, 39608
78, 39608
79, 39608
80, 39608
81, 39608
82, 39608
83, 39608
84, 39608
85, 39608
86, 39608
87, 39608
88, 39608
89, 39608
90, 39608
91, 39608
92, 39608
93, 39608
94, 39608
95, 39608
96, 39608
97, 39608
98, 39608
99, 39608
