### RESULTS ###
benchmark: icache-test
description: measure instruction cache performance by increasing number of instructions in loop
nop_bytes, run, cycles
0, 0, 2282
0, 1, 2282
0, 2, 2282
0, 3, 2282
0, 4, 2282
0, 5, 2282
0, 6, 2282
0, 7, 2282
0, 8, 2282
0, 9, 2282
1024, 0, 2793
1024, 1, 2793
1024, 2, 2793
1024, 3, 2793
1024, 4, 2793
1024, 5, 2793
1024, 6, 2793
1024, 7, 2793
1024, 8, 2793
1024, 9, 2793
2048, 0, 3305
2048, 1, 3305
2048, 2, 3305
2048, 3, 3305
2048, 4, 3305
2048, 5, 3305
2048, 6, 3305
2048, 7, 3305
2048, 8, 3305
2048, 9, 3305
3072, 0, 3817
3072, 1, 3817
3072, 2, 3817
3072, 3, 3817
3072, 4, 3817
3072, 5, 3817
3072, 6, 3817
3072, 7, 3817
3072, 8, 3817
3072, 9, 3817
4096, 0, 4329
4096, 1, 4329
4096, 2, 4329
4096, 3, 4329
4096, 4, 4329
4096, 5, 4329
4096, 6, 4329
4096, 7, 4329
4096, 8, 4329
4096, 9, 4329
5120, 0, 4841
5120, 1, 4841
5120, 2, 4841
5120, 3, 4841
5120, 4, 4841
5120, 5, 4841
5120, 6, 4841
5120, 7, 4841
5120, 8, 4841
5120, 9, 4841
6144, 0, 5353
6144, 1, 5353
6144, 2, 5353
6144, 3, 5353
6144, 4, 5353
6144, 5, 5353
6144, 6, 5353
6144, 7, 5353
6144, 8, 5353
6144, 9, 5353
7168, 0, 5865
7168, 1, 5865
7168, 2, 5865
7168, 3, 5865
7168, 4, 5865
7168, 5, 5865
7168, 6, 5865
7168, 7, 5865
7168, 8, 5865
7168, 9, 5865
8192, 0, 6377
8192, 1, 6377
8192, 2, 6377
8192, 3, 6377
8192, 4, 6377
8192, 5, 6377
8192, 6, 6377
8192, 7, 6377
8192, 8, 6377
8192, 9, 6377
9216, 0, 6889
9216, 1, 6889
9216, 2, 6889
9216, 3, 6889
9216, 4, 6889
9216, 5, 6889
9216, 6, 6889
9216, 7, 6889
9216, 8, 6889
9216, 9, 6889
10240, 0, 7401
10240, 1, 7401
10240, 2, 7401
10240, 3, 7401
10240, 4, 7401
10240, 5, 7401
10240, 6, 7401
10240, 7, 7401
10240, 8, 7401
10240, 9, 7401
11264, 0, 7913
11264, 1, 7913
11264, 2, 7913
11264, 3, 7913
11264, 4, 7913
11264, 5, 7913
11264, 6, 7913
11264, 7, 7913
11264, 8, 7913
11264, 9, 7913
12288, 0, 8425
12288, 1, 8425
12288, 2, 8425
12288, 3, 8425
12288, 4, 8425
12288, 5, 8425
12288, 6, 8425
12288, 7, 8425
12288, 8, 8425
12288, 9, 8425
13312, 0, 8937
13312, 1, 8937
13312, 2, 8937
13312, 3, 8937
13312, 4, 8937
13312, 5, 8937
13312, 6, 8937
13312, 7, 8937
13312, 8, 8937
13312, 9, 8937
14336, 0, 9449
14336, 1, 9449
14336, 2, 9449
14336, 3, 9449
14336, 4, 9449
14336, 5, 9449
14336, 6, 9449
14336, 7, 9449
14336, 8, 9449
14336, 9, 9449
15360, 0, 9961
15360, 1, 9961
15360, 2, 9961
15360, 3, 9961
15360, 4, 9961
15360, 5, 9961
15360, 6, 9961
15360, 7, 9961
15360, 8, 9961
15360, 9, 9961
16384, 0, 10473
16384, 1, 10473
16384, 2, 10473
16384, 3, 10473
16384, 4, 10473
16384, 5, 10473
16384, 6, 10473
16384, 7, 10473
16384, 8, 10473
16384, 9, 10473
