### RESULTS ###
benchmark: setbrk_overhead
description: changes the heap break which requires an MPU update
run, cycles, break, break_decimal
171, 6510, 0x10009560, 268473696
172, 6510, 0x10009568, 268473704
173, 6510, 0x10009570, 268473712
174, 6510, 0x10009578, 268473720
175, 6510, 0x10009580, 268473728
176, 6510, 0x10009588, 268473736
177, 6510, 0x10009590, 268473744
178, 6510, 0x10009598, 268473752
179, 6510, 0x100095a0, 268473760
180, 6510, 0x100095a8, 268473768
181, 6510, 0x100095b0, 268473776
182, 6510, 0x100095b8, 268473784
183, 6510, 0x100095c0, 268473792
184, 6510, 0x100095c8, 268473800
185, 6510, 0x100095d0, 268473808
186, 6510, 0x100095d8, 268473816
187, 6510, 0x100095e0, 268473824
188, 6510, 0x100095e8, 268473832
189, 6510, 0x100095f0, 268473840
190, 6510, 0x100095f8, 268473848
191, 6510, 0x10009600, 268473856
192, 6510, 0x10009608, 268473864
193, 6510, 0x10009610, 268473872
194, 6510, 0x10009618, 268473880
195, 6510, 0x10009620, 268473888
196, 6510, 0x10009628, 268473896
197, 6510, 0x10009630, 268473904
198, 6510, 0x10009638, 268473912
199, 6510, 0x10009640, 268473920
200, 6510, 0x10009648, 268473928
201, 6510, 0x10009650, 268473936
202, 6510, 0x10009658, 268473944
203, 6510, 0x10009660, 268473952
204, 6510, 0x10009668, 268473960
205, 6510, 0x10009670, 268473968
206, 6510, 0x10009678, 268473976
207, 6510, 0x10009680, 268473984
208, 6510, 0x10009688, 268473992
209, 6510, 0x10009690, 268474000
210, 6510, 0x10009698, 268474008
211, 6510, 0x100096a0, 268474016
212, 6510, 0x100096a8, 268474024
213, 6510, 0x100096b0, 268474032
214, 6510, 0x100096b8, 268474040
215, 6510, 0x100096c0, 268474048
216, 6510, 0x100096c8, 268474056
217, 6510, 0x100096d0, 268474064
218, 6510, 0x100096d8, 268474072
219, 6510, 0x100096e0, 268474080
220, 6510, 0x100096e8, 268474088
221, 6510, 0x100096f0, 268474096
222, 6510, 0x100096f8, 268474104
223, 6510, 0x10009700, 268474112
224, 6510, 0x10009708, 268474120
225, 6510, 0x10009710, 268474128
226, 6510, 0x10009718, 268474136
227, 6510, 0x10009720, 268474144
228, 6510, 0x10009728, 268474152
229, 6510, 0x10009730, 268474160
230, 6510, 0x10009738, 268474168
231, 6510, 0x10009740, 268474176
232, 6510, 0x10009748, 268474184
233, 6510, 0x10009750, 268474192
234, 6510, 0x10009758, 268474200
235, 6510, 0x10009760, 268474208
236, 6510, 0x10009768, 268474216
237, 6510, 0x10009770, 268474224
238, 6510, 0x10009778, 268474232
239, 6510, 0x10009780, 268474240
240, 6510, 0x10009788, 268474248
241, 6510, 0x10009790, 268474256
242, 6510, 0x10009798, 268474264
243, 6510, 0x100097a0, 268474272
244, 6510, 0x100097a8, 268474280
245, 6510, 0x100097b0, 268474288
246, 6510, 0x100097b8, 268474296
247, 6510, 0x100097c0, 268474304
248, 6510, 0x100097c8, 268474312
249, 6510, 0x100097d0, 268474320
250, 6510, 0x100097d8, 268474328
251, 6510, 0x100097e0, 268474336
252, 6510, 0x100097e8, 268474344
253, 6510, 0x100097f0, 268474352
254, 6510, 0x100097f8, 268474360
255, 6510, 0x10009800, 268474368
256, 6510, 0x10009808, 268474376
257, 6510, 0x10009810, 268474384
258, 6510, 0x10009818, 268474392
259, 6510, 0x10009820, 268474400
260, 6510, 0x10009828, 268474408
261, 6510, 0x10009830, 268474416
262, 6510, 0x10009838, 268474424
263, 6510, 0x10009840, 268474432
264, 6510, 0x10009848, 268474440
265, 6510, 0x10009850, 268474448
266, 6510, 0x10009858, 268474456
267, 6510, 0x10009860, 268474464
268, 6510, 0x10009868, 268474472
